OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
CodeForces,849B,Tell Your World, x1702,,,
CodeForces,849A,Odds and Ends, x3890,,,
CodeForces,848E,Days of Floral Colours, x2,,,
CodeForces,848D,Shake It!, x25,,,
CodeForces,848C,Goodbye Souvenir, x181,,,
CodeForces,848B,Rooter's Song, x763,,,
CodeForces,848A,From Y to Y, x2570,,,
CodeForces,845G,Shortest Path Problem?, x266,,,
CodeForces,845F,Guards In The Storehouse, x92,,,
CodeForces,845E,Fire in the City, x161,,,
CodeForces,845D,Driving Test, x1079,,,
CodeForces,845C,Two TVs, x2562,,,
CodeForces,845B,Luba And The Ticket, x2779,,,
CodeForces,845A,Chess Tourney, x3913,,,
CodeForces,844B,Rectangles, x2980,,,
CodeForces,844A,Diversity, x4349,,,
CodeForces,843E,Maximum Flow, x36,,,
CodeForces,843D,Dynamic Shortest Path, x43,,,
CodeForces,843C,Upgrading Tree, x132,,,
CodeForces,843B,Interactive LowerBound, x1055,,,
CodeForces,843A,Sorting by Subsequences, x3026,,,
CodeForces,842E,Nikita and game, x47,,,
CodeForces,842D,Vitya and Strange Lesson, x931,,,
CodeForces,842C,Ilya And The Tree, x1412,,,
CodeForces,842B,Gleb And Pizza, x5085,,,
CodeForces,842A,Kirill And The Game, x4482,,,
CodeForces,841B,Godsend, x5276,,,
CodeForces,841A,Generous Kefa, x6440,,,
CodeForces,840E,In a Trap, x47,,,
CodeForces,840D,Destiny, x321,,,
CodeForces,840C,On the Bench, x351,,,
CodeForces,840B,Leha and another game about graph, x983,,,
CodeForces,840A,Leha and Function, x4625,,,
CodeForces,839E,Mother of Dragons, x274,,,
CodeForces,839D,Winter is here, x1108,,,
CodeForces,839C,Journey, x4015,,,
CodeForces,839B,Game of the Rows, x2091,,,
CodeForces,839A,Arya and Bran, x7151,,,
CodeForces,838F,Expected Earnings, x8,,,
CodeForces,838E,Convex Countour, x133,,,
CodeForces,838D,Airplane Arrangements, x42,,,
CodeForces,838C,Future Failure, x22,,,
CodeForces,838B,Diverging Directions, x148,,,
CodeForces,838A,Binary Blocks, x470,,,
CodeForces,837G,Functions On The Segments, x151,,,
CodeForces,837F,Prefix Sums, x246,,,
CodeForces,837E,Vasya's Function, x655,,,
CodeForces,837D,Round Subset, x1154,,,
CodeForces,837C,Two Seals, x2175,,,
CodeForces,837B,Flag of Berland, x2458,,,
CodeForces,837A,Text Volume, x4453,,,
CodeForces,835F,Roads in the Kingdom, x187,,,
CodeForces,835E,The penguin's game, x397,,,
CodeForces,835D,Palindromic characteristics, x1545,,,
CodeForces,835C,Star sky, x3401,,,
CodeForces,835B,The number on the board, x5802,,,
CodeForces,835A,Key races, x7216,,,
CodeForces,834B,The Festive Evening, x4604,,,
CodeForces,834A,The Useless Toy, x5357,,,
CodeForces,833E,Caramel Clouds, x22,,,
CodeForces,833D,Red-Black Cobweb, x91,,,
CodeForces,833C,Ever-Hungry Krakozyabra, x177,,,
CodeForces,833B,The Bakery, x896,,,
CodeForces,833A,The Meaningless Game, x3122,,,
CodeForces,832E,Vasya and Shifts, x127,,,
CodeForces,832D,"Misha, Grisha and Underground", x1422,,,
CodeForces,832C,Strange Radiation, x264,,,
CodeForces,832B,Petya and Exam, x2976,,,
CodeForces,832A,Sasha and Sticks, x7655,,,
CodeForces,831C,Jury Marks, x2314,,,
CodeForces,831B,Keyboard Layouts, x5905,,,
CodeForces,831A,Unimodal Array, x5475,,,
CodeForces,830E,Perpetual Motion Machine, x58,,,
CodeForces,830D,Singer House, x206,,,
CodeForces,830C,Bamboo Partition, x579,,,
CodeForces,830B,Cards Sorting, x1541,,,
CodeForces,830A,Office Keys, x2277,,,
CodeForces,828B,Black Square, x3747,,,
CodeForces,828A,Restaurant Tables, x4523,,,
CodeForces,827F,Dirty Arkady's Kitchen, x41,,,
CodeForces,827E,Rusty String, x206,,,
CodeForces,827D,Best Edge Weight, x228,,,
CodeForces,827C,DNA Evolution, x851,,,
CodeForces,827B,High Load, x1961,,,
