OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
POJ,1099,Square Ice,1339,1557,1707,4361
POJ,1098,Robots,139,220,184,598
POJ,1097,Roads Scholar,261,338,334,905
POJ,1096,Space Station Shielding,404,515,576,1631
POJ,1092,Farmland,319,395,513,1367
POJ,1095,Trees Made to Order,3157,3399,4241,7435
POJ,1093,Formatting Text,418,540,690,2546
POJ,1090,Chain,820,1118,1159,3482
POJ,1091,跳蚤,2088,2759,3295,10617
POJ,1089,Intervals,2402,2740,3355,8459
POJ,1087,A Plug for UNIX,3067,3433,6050,17509
POJ,1094,Sorting It All Out,7525,8475,12633,35913
POJ,1084,Square Destroyer,932,1117,1867,4180
POJ,1085,Triangle War,714,825,1448,3701
POJ,1086,Unscrambling Images,261,336,337,866
POJ,1081,You Who?,238,349,297,881
POJ,1078,Gizilch,419,516,589,1517
POJ,1082,Calendar Game,2176,2435,2927,6068
POJ,1083,Moving Tables,8162,8887,10792,32286
POJ,1088,滑雪,22024,24765,38311,100684
POJ,1076,Bowl,150,250,211,954
POJ,1079,Ratio,1159,1313,1571,4237
POJ,1075,University Entrance Examination,170,246,215,738
POJ,1080,Human Gene Functions,8065,8453,11100,19897
POJ,1077,Eight,4646,5486,14393,33257
POJ,1073,The Willy Memorial Program,177,274,222,774
POJ,1072,Puzzle Out,184,316,327,1297
POJ,1074,Parallel Expectations,209,279,290,956
POJ,1071,Illusive Chase,462,541,572,1269
POJ,1070,Deformed Wheel,107,188,150,684
POJ,1069,The Bermuda Triangle,414,507,694,1443
POJ,1066,Treasure Hunt,1820,2059,3049,7393
POJ,1063,Flip and Shift,2871,3144,3573,7727
POJ,1065,Wooden Sticks,6978,7626,10309,23920
POJ,1058,The Gourmet Club,330,467,509,1683
POJ,1060,Modular multiplication of polynomials,1662,1808,2179,4797
POJ,1064,Cable master,4610,5545,10676,50704
POJ,1068,Parencodings,11830,12319,15924,27112
POJ,1059,Chutes and Ladders,852,1030,962,39560
POJ,1057,FILE MAPPING,993,1114,1188,2445
POJ,1067,取石子游戏,10804,13755,14450,42586
POJ,1055,BULK MAILING,223,325,299,1014
POJ,1056,IMMEDIATE DECODABILITY,4817,5097,6620,13837
POJ,1062,昂贵的聘礼,8416,9919,15282,51060
POJ,1054,The Troublesome Frog,2062,2435,3917,12769
POJ,1053,Set Me,1213,1375,1504,3261
POJ,1061,青蛙的约会,12755,21026,24982,118847
POJ,1052,Plato's Blocks,265,367,337,845
POJ,1048,Follow My Logic,515,698,623,2162
POJ,1049,Microprocessor Simulation,691,831,966,3272
POJ,1051,"P,MTHBGWB",4209,4460,4686,8204
POJ,1047,Round and Round We Go,5155,5694,6076,12990
POJ,1050,To the Max,17231,18738,26298,49637
POJ,1046,Color Me Less,14291,14888,16794,34518
POJ,1044,Date bugs,807,996,946,3214
POJ,1043,What's In A Name?,746,982,983,2740
POJ,1040,Transportation,1205,1387,1969,4816
POJ,1041,John's trip,1730,2018,3095,9226
POJ,1037,A decorative fence,2089,2421,2975,7840
POJ,1039,Pipe,1998,2302,3499,11246
POJ,1036,Gangsters,2439,2758,3715,13022
POJ,1038,"Bugs Integrated, Inc.",2027,2396,3979,10356
POJ,1045,Bode Plot,8197,8581,9157,14725
POJ,1042,Gone Fishing,7028,7891,11013,35467
POJ,1034,The dog task,931,1112,1275,3154
POJ,1035,Spell checker,5976,6615,9501,25941
POJ,1033,Defragment,1080,1320,1606,4584
POJ,1030,Rating,282,405,453,1862
POJ,1031,Fence,925,1091,1310,3758
POJ,1029,False coin,4038,5145,5550,19616
