OJ,Problem Number,Problem Title,AC Users,Try Users,AC Submission,All Submission
UVA,100,The 3n + 1 problem,82495,,199876,740841
UVA,101,The Blocks Problem,13814,,21473,95641
UVA,102,Ecological Bin Packing,24265,,37550,95234
UVA,103,Stacking Boxes,6434,,10570,42048
UVA,104,Arbitrage,4142,,7132,29865
UVA,105,The Skyline Problem,8870,,13246,53651
UVA,106,Fermat vs. Pythagoras,4262,,9440,28080
UVA,107,The Cat in the Hat,5701,,10463,49818
UVA,108,Maximum Sum,15792,,25146,58199
UVA,109,SCUD Busters,2153,,3794,12449
UVA,110,Meta-Loopless Sorts,1957,,3363,11137
UVA,111,History Grading,9080,,13401,30351
UVA,112,Tree Summing,5646,,9909,36027
UVA,113,Power of Cryptography,17656,,24026,59100
UVA,114,Simulation Wizardry,1747,,2632,8277
UVA,115,Climbing Trees,1664,,2368,6989
UVA,116,Unidirectional TSP,6734,,11801,52523
UVA,117,The Postal Worker Rings Once,3138,,4216,8672
UVA,118,Mutant Flatworld Explorers,6120,,7398,18875
UVA,119,Greedy Gift Givers,7236,,9045,33119
UVA,120,Stacks of Flapjacks,8784,,14117,34034
UVA,121,Pipe Fitters,2619,,3170,7531
UVA,122,Trees on the level,3902,,6973,26938
UVA,123,Searching Quickly,3097,,4346,12784
UVA,124,Following Orders,3135,,4346,11389
UVA,125,Numbering Paths,1967,,2641,9681
UVA,126,The Errant Physicist,1145,,1339,4305
UVA,127,"""Accordian"" Patience",3059,,5536,14808
UVA,128,Software CRC,3555,,7986,18770
UVA,129,Krypton Factor,1790,,2949,7844
UVA,130,Roman Roulette,2971,,3705,8783
UVA,131,The Psychic Poker Player,1518,,1953,3824
UVA,132,Bumpy Objects,882,,1638,3766
UVA,133,The Dole Queue,5368,,8264,17330
UVA,134,Loglan-A Logical Language,829,,1018,3541
UVA,135,No Rectangles,549,,790,2951
UVA,136,Ugly Numbers,18794,,26725,84474
UVA,137,Polygons,617,,899,4456
UVA,138,Street Numbers,6840,,8960,19952
UVA,139,Telephone Tangles,725,,1493,9422
UVA,140,Bandwidth,2595,,4583,10478
UVA,141,The Spot Game,2048,,3114,7359
UVA,142,Mouse Clicks,1041,,1460,6688
UVA,143,Orchard Trees,1035,,2343,19336
UVA,144,Student Grants,2355,,3090,6695
UVA,145,Gondwanaland Telecom,1818,,2205,9181
UVA,146,ID Codes,11834,,15456,27750
UVA,147,Dollars,7675,,13271,50133
UVA,148,Anagram checker,1040,,1713,4941
UVA,149,Forests,281,,520,1188
UVA,150,Double Time,472,,743,2442
UVA,151,Power Crisis,9503,,12533,20866
UVA,152,Tree's a Crowd,2779,,4290,10931
UVA,153,Permalex,1696,,2125,7483
UVA,154,Recycling,2755,,3232,6127
UVA,155,All Squares,2662,,3392,6852
UVA,156,Ananagrams,7500,,11627,19461
UVA,157,Route Finding,502,,622,2014
UVA,158,Calendar,372,,455,2946
UVA,159,Word Crosses,1021,,1257,5225
UVA,160,Factors and Factorials,9445,,12260,39188
UVA,161,Traffic Lights,2350,,3029,8256
UVA,162,Beggar My Neighbour,1085,,1464,4480
UVA,163,City Directions,192,,257,1700
UVA,164,String Computer,1985,,3817,12339
UVA,165,Stamps,998,,1469,3801
UVA,166,Making Change,2287,,3660,9611
UVA,167,The Sultan's Successors,6354,,9189,18502
UVA,168,Theseus and the Minotaur,1185,,2633,8177
UVA,169,Xenosemantics,205,,411,2058
UVA,170,Clock Patience,2076,,2667,6057
UVA,171,Car Trialling,376,,459,3377
UVA,172,Calculator Language,517,,663,2481
UVA,173,Network Wars,265,,479,2940
UVA,174,Strategy,404,,474,1241
UVA,175,Keywords,244,,373,2258
UVA,176,City Navigation,241,,299,946
UVA,177,Paper Folding,688,,1076,2916
UVA,178,Shuffling Patience,333,,448,1162
UVA,179,Code Breaking,457,,586,2241
UVA,180,Eeny Meeny,276,,573,2584
UVA,181,Hearts,461,,544,1130
UVA,182,Bonus Bonds,340,,378,883
UVA,183,Bit Maps,1123,,1383,5488
UVA,184,Laser Lines,1064,,1918,4357
UVA,185,Roman Numerals,670,,914,2144
UVA,186,Trip Routing,995,,1273,4075
UVA,187,Transaction Processing,971,,1156,3249
UVA,188,Perfect Hash,1388,,2227,4524
UVA,189,Pascal Program Lengths,185,,237,1031
UVA,190,Circle Through Three Points,4110,,5363,15721
UVA,191,Intersection,3705,,5789,25832
UVA,192,Synchronous Design,283,,334,1059
UVA,193,Graph Coloring,2921,,4739,17745
UVA,194,Triangle,242,,413,2590
UVA,195,Anagram,6143,,9472,37216
UVA,196,Spreadsheet,1294,,2385,10385
UVA,197,Cube,146,,263,1455
UVA,198,Peter's Calculator,376,,544,2776
UVA,199,Partial differential equations,154,,200,896
UVA,200,Rare Order,5302,,7824,23649
UVA,201,Squares,2361,,4026,11132
UVA,202,Repeating Decimals,3056,,5899,20887
UVA,203,Running Lights Visibility Calculator,32,,71,1441
UVA,204,Robot Crash,26,,56,1047
UVA,205,Getting There,43,,72,987
UVA,206,Meals on Wheels Routing System,108,,143,964
UVA,207,PGA Tour Prize Money,176,,482,2644
UVA,208,Firetruck,1605,,2876,12499
UVA,209,Triangular Vertices,652,,1118,3386
UVA,210,Concurrency Simulator,426,,1066,4790
UVA,211,The Domino Effect,472,,793,2120
UVA,212,Use of Hospital Facilities,108,,175,865
UVA,213,Message Decoding,1596,,3073,8138
UVA,214,Code Generation,136,,233,1004
UVA,215,Spreadsheet Calculator,367,,485,1761
UVA,216,Getting in Line,3363,,5392,12832
UVA,217,Radio Direction Finder,29,,33,136
UVA,218,Moth Eradication,1501,,3749,8908
UVA,219,Department of Redundancy Department,29,,33,207
UVA,220,Othello,817,,1551,5518
UVA,221,Urban Elevations,546,,1117,4611
UVA,222,Budget Travel,853,,1253,3859
UVA,223,Classifying Lots in a Subdivision,35,,54,332
UVA,224,Kissin' Cousins,16,,18,62
UVA,225,Golygons,253,,742,2748
UVA,226,MIDI Preprocessing,99,,201,532
UVA,227,Puzzle,2774,,5962,28890
UVA,228,Resource Allocation,12,,15,63
UVA,229,Scanner,112,,207,967
UVA,230,Borrowers,1029,,1670,4709
UVA,231,Testing the CATCHER,4997,,7096,26714
UVA,232,Crossword Answers,2244,,4243,13468
UVA,233,Package Pricing,38,,56,590
UVA,234,Switching Channels,173,,257,450
UVA,235,Typesetting,20,,37,278
UVA,236,VTAS - Vessel Traffic Advisory Service,2,,3,217
UVA,237,Monitoring Wheelchair Patients,53,,78,368
UVA,238,Jill's Bike,100,,141,904
UVA,239,Tempus et mobilius. Time and motion,197,,263,799
UVA,240,Variable Radix Huffman Encoding,177,,310,1220
UVA,241,Sail Race,12,,24,166
UVA,242,Stamps and Envelope Size,548,,1063,3830
UVA,243,Theseus and the Minotaur (II),55,,89,892
UVA,244,Train Time,43,,62,386
UVA,245,Uncompress,1060,,1896,5379
UVA,246,10-20-30,591,,1549,3769
UVA,247,Calling Circles,2596,,4875,10204
UVA,248,Cutting Corners,49,,73,704
UVA,249,Bang the Drum Slowly,34,,53,268
UVA,250,Pattern Matching Prelims,224,,348,1322
UVA,251,Nondeterministic Trellis Automata,51,,101,820
UVA,252,Trucking,5,,5,85
UVA,253,Cube painting,3436,,5646,14068
UVA,254,Towers of Hanoi,819,,1295,6347
UVA,255,Correct Move,1130,,1650,4333
UVA,256,Quirksome Squares,7991,,9980,17613
UVA,257,Palinwords,495,,902,3690
UVA,258,Mirror Maze,180,,376,1902
UVA,259,Software Allocation,1667,,2614,5637
UVA,260,Il Gioco dell'X,3296,,4833,10396
UVA,261,The Window Property,172,,364,1089
UVA,262,Transferable Voting,50,,96,1543
UVA,263,Number Chains,2671,,4803,12326
UVA,264,Count on Cantor,8690,,11141,22318
UVA,265,Dining Diplomats,63,,125,1114
UVA,266,Stamping Out Stamps,46,,132,696
UVA,267,Of(f) Course!,86,,394,1336
UVA,268,Double Trouble,310,,483,1412
UVA,269,Counting Patterns,93,,208,871
UVA,270,Lining Up,1422,,2910,15947
UVA,271,Simply Syntax,2553,,3672,8782
UVA,272,TEX Quotes,32069,,44800,97236
UVA,273,Jack Straws,741,,1151,5657
UVA,274,Cat and Mouse,470,,720,3954
UVA,275,Expanding Fractions,1608,,2334,8503
UVA,276,Egyptian Multiplication,399,,779,2580
UVA,277,Cabinets,122,,142,1164
UVA,278,Chess,3985,,4807,8249
UVA,279,Spin,34,,69,166
UVA,280,Vertex,3918,,5975,16508
UVA,281,Rubik's Cube,27,,57,239
UVA,282,Rename,84,,175,781
UVA,283,Compress,90,,209,1318
UVA,284,Logic,60,,114,351
UVA,285,Crosswords,51,,190,594
UVA,286,Dead Or Not -- That Is The Question,86,,178,578
UVA,287,Text Comparsion,9,,42,128
UVA,288,Arithmetic Operations With Large Integers,210,,393,1673
UVA,289,A Very Nasty Text Formatter,49,,81,239
